customer_id,customer_name,segment,created_at
JC-15775,John Castell,Consumer,2026-08-03 12:39:34.619116
EB-13840,Ellis Ballard,Corporate,2026-08-03 12:39:34.619116
TS-21340,Toby Swindell,Consumer,2026-08-03 12:39:34.619116
CK-12205,Chloris Kastensmidt,Consumer,2026-08-03 12:39:34.619116
BP-11230,Benjamin Patterson,Consumer,2026-08-03 12:39:34.619116
LM-17065,Liz MacKendrick,Consumer,2026-08-03 12:39:34.619116
RD-19930,Russell D'Ascenzo,Consumer,2026-08-03 12:39:34.619116
MD-17350,Maribeth Dona,Consumer,2026-08-03 12:39:34.619116
AC-10450,Amy Cox,Consumer,2026-08-03 12:39:34.619116
KL-16645,Ken Lonsdale,Consumer,2026-08-03 12:39:34.619116
NR-18550,Nick Radford,Consumer,2026-08-03 12:39:34.619116
RP-19390,Resi Pölking,Consumer,2026-08-03 12:39:34.619116
JR-16210,Justin Ritter,Corporate,2026-08-03 12:39:34.619116
DB-13660,Duane Benoit,Consumer,2026-08-03 12:39:34.619116
CH-12070,Cathy Hwang,Home Office,2026-08-03 12:39:34.619116
NP-18325,Naresj Patel,Consumer,2026-08-03 12:39:34.619116
GM-14455,Gary Mitchum,Home Office,2026-08-03 12:39:34.619116
KD-16495,Keith Dawkins,Corporate,2026-08-03 12:39:34.619116
DW-13480,Dianna Wilson,Home Office,2026-08-03 12:39:34.619116
JF-15415,Jennifer Ferguson,Consumer,2026-08-03 12:39:34.619116
BF-11080,Bart Folk,Consumer,2026-08-03 12:39:34.619116
EM-14140,Eugene Moren,Home Office,2026-08-03 12:39:34.619116
MS-17530,MaryBeth Skach,Consumer,2026-08-03 12:39:34.619116
DM-13015,Darrin Martin,Consumer,2026-08-03 12:39:34.619116
HW-14935,Helen Wasserman,Corporate,2026-08-03 12:39:34.619116
CL-12700,Craig Leslie,Home Office,2026-08-03 12:39:34.619116
LB-16735,Larry Blacks,Consumer,2026-08-03 12:39:34.619116
TD-20995,Tamara Dahlen,Consumer,2026-08-03 12:39:34.619116
AC-10420,Alyssa Crouse,Corporate,2026-08-03 12:39:34.619116
RE-19405,Ricardo Emerson,Consumer,2026-08-03 12:39:34.619116
BC-11125,Becky Castell,Home Office,2026-08-03 12:39:34.619116
JE-15715,Joe Elijah,Consumer,2026-08-03 12:39:34.619116
CS-11845,Cari Sayre,Corporate,2026-08-03 12:39:34.619116
AT-10435,Alyssa Tate,Home Office,2026-08-03 12:39:34.619116
GM-14695,Greg Maxwell,Corporate,2026-08-03 12:39:34.619116
NM-18445,Nathan Mautz,Home Office,2026-08-03 12:39:34.619116
SC-20230,Scot Coram,Corporate,2026-08-03 12:39:34.619116
MG-18205,Mitch Gastineau,Corporate,2026-08-03 12:39:34.619116
SC-20380,Shahid Collister,Consumer,2026-08-03 12:39:34.619116
BF-11170,Ben Ferrer,Home Office,2026-08-03 12:39:34.619116
NZ-18565,Nick Zandusky,Home Office,2026-08-03 12:39:34.619116
RD-19480,Rick Duston,Consumer,2026-08-03 12:39:34.619116
FH-14350,Fred Harton,Consumer,2026-08-03 12:39:34.619116
TR-21325,Toby Ritter,Consumer,2026-08-03 12:39:34.619116
BP-11290,Beth Paige,Consumer,2026-08-03 12:39:34.619116
SG-20080,Sandra Glassco,Consumer,2026-08-03 12:39:34.619116
LC-16930,Linda Cazamias,Corporate,2026-08-03 12:39:34.619116
JL-15505,Jeremy Lonsdale,Consumer,2026-08-03 12:39:34.619116
IM-15070,Irene Maddox,Consumer,2026-08-03 12:39:34.619116
CM-11935,Carlos Meador,Consumer,2026-08-03 12:39:34.619116
JC-16105,Julie Creighton,Corporate,2026-08-03 12:39:34.619116
BE-11335,Bill Eplett,Home Office,2026-08-03 12:39:34.619116
RA-19915,Russell Applegate,Consumer,2026-08-03 12:39:34.619116
MS-17980,Michael Stewart,Corporate,2026-08-03 12:39:34.619116
RM-19375,Raymond Messe,Consumer,2026-08-03 12:39:34.619116
JL-15175,James Lanier,Home Office,2026-08-03 12:39:34.619116
ME-17320,Maria Etezadi,Home Office,2026-08-03 12:39:34.619116
RR-19315,Ralph Ritter,Consumer,2026-08-03 12:39:34.619116
EJ-13720,Ed Jacobs,Consumer,2026-08-03 12:39:34.619116
MC-17575,Matt Collins,Consumer,2026-08-03 12:39:34.619116
JM-15250,Janet Martin,Consumer,2026-08-03 12:39:34.619116
EC-14050,Erin Creighton,Consumer,2026-08-03 12:39:34.619116
NF-18385,Natalie Fritzler,Consumer,2026-08-03 12:39:34.619116
ED-13885,Emily Ducich,Home Office,2026-08-03 12:39:34.619116
SW-20275,Scott Williamson,Consumer,2026-08-03 12:39:34.619116
LW-16825,Laurel Workman,Corporate,2026-08-03 12:39:34.619116
PK-18910,Paul Knutson,Home Office,2026-08-03 12:39:34.619116
JB-16045,Julia Barnett,Home Office,2026-08-03 12:39:34.619116
VT-21700,Valerie Takahito,Home Office,2026-08-03 12:39:34.619116
CR-12580,Clay Rozendal,Home Office,2026-08-03 12:39:34.619116
GZ-14470,Gary Zandusky,Consumer,2026-08-03 12:39:34.619116
BS-11365,Bill Shonely,Corporate,2026-08-03 12:39:34.619116
KW-16570,Kelly Williams,Consumer,2026-08-03 12:39:34.619116
MW-18220,Mitch Webber,Consumer,2026-08-03 12:39:34.619116
JL-15235,Janet Lee,Consumer,2026-08-03 12:39:34.619116
GT-14755,Guy Thornton,Consumer,2026-08-03 12:39:34.619116
JM-15535,Jessica Myrick,Consumer,2026-08-03 12:39:34.619116
RC-19960,Ryan Crowe,Consumer,2026-08-03 12:39:34.619116
KN-16450,Kean Nguyen,Corporate,2026-08-03 12:39:34.619116
RS-19870,Roy Skaria,Home Office,2026-08-03 12:39:34.619116
MC-17845,Michael Chen,Consumer,2026-08-03 12:39:34.619116
JP-15520,Jeremy Pistek,Consumer,2026-08-03 12:39:34.619116
TH-21100,Thea Hendricks,Consumer,2026-08-03 12:39:34.619116
RE-19450,Richard Eichhorn,Consumer,2026-08-03 12:39:34.619116
RF-19345,Randy Ferguson,Corporate,2026-08-03 12:39:34.619116
BB-11545,Brenda Bowman,Corporate,2026-08-03 12:39:34.619116
MC-17635,Matthew Clasen,Corporate,2026-08-03 12:39:34.619116
DB-12970,Darren Budd,Corporate,2026-08-03 12:39:34.619116
EH-14125,Eugene Hildebrand,Home Office,2026-08-03 12:39:34.619116
BO-11350,Bill Overfelt,Corporate,2026-08-03 12:39:34.619116
CC-12220,Chris Cortes,Consumer,2026-08-03 12:39:34.619116
JP-16135,Julie Prescott,Home Office,2026-08-03 12:39:34.619116
PO-18850,Patrick O'Brill,Consumer,2026-08-03 12:39:34.619116
DP-13390,Dennis Pardue,Home Office,2026-08-03 12:39:34.619116
